cliente_id,fecha,monto,tipo_transaccion,estado,sucursal
1003,2025-11-13 13:48:57.120367,7096.06,Transferencia,Completado,Oeste
1027,2025-12-12 13:48:57.120367,23.45,Pago,Completado,Este
1015,2025-12-28 13:48:57.120367,618.79,Transferencia,Completado,Este
1041,2025-12-23 13:48:57.120367,454.19,Transferencia,Completado,Norte
1049,2025-12-30 13:48:57.120367,11698.43,Pago,Completado,Norte
1001,2026-01-10 13:48:57.120367,334.69,Retiro,Pendiente,Norte
1011,2025-11-29 13:48:57.120367,672.45,Transferencia,Completado,Norte
1045,2025-11-14 13:48:57.120367,335.57,Retiro,Completado,Norte
1021,2026-01-17 13:48:57.120367,214.85,Transferencia,Completado,Centro
1032,2025-12-07 13:48:57.120367,175.16,Retiro,Completado,Este
1004,2025-11-23 13:48:57.120367,552.39,Deposito,Completado,Este
1016,2025-12-29 13:48:57.120367,568.77,Transferencia,Pendiente,
1015,2025-12-07 13:48:57.120367,217.21,Deposito,Completado,Oeste
1047,2025-12-14 13:48:57.120367,1980.21,Retiro,Cancelado,Centro
1006,2025-12-18 13:48:57.120367,1067.78,Retiro,Completado,Sur
1018,2026-01-24 13:48:57.120367,,Pago,Pendiente,Este
1044,2025-12-17 13:48:57.120367,63.59,Transferencia,Completado,Norte
1026,2026-02-03 13:48:57.120367,895.25,Retiro,Pendiente,Este
1019,2025-12-27 13:48:57.120367,1293.66,Pago,Completado,Centro
1009,2025-11-20 13:48:57.120367,153.48,Transferencia,Completado,Este
1022,2026-01-14 13:48:57.120367,,Transferencia,Pendiente,Sur
1008,2025-12-27 13:48:57.120367,20.34,Pago,,Norte
1040,2025-12-03 13:48:57.120367,24.2,Retiro,Completado,Oeste
1007,2025-11-21 13:48:57.120367,17.45,Transferencia,Cancelado,Sur
1044,2026-01-07 13:48:57.120367,112.98,Transferencia,Completado,Este
1036,2025-12-31 13:48:57.120367,4893.46,Retiro,Completado,
1029,2026-02-03 13:48:57.120367,117.1,Pago,Completado,Sur
1033,2025-12-26 13:48:57.120367,2950.58,Retiro,Completado,Centro
1015,2025-11-29 13:48:57.120367,4375.24,Transferencia,Completado,Oeste
1037,2025-11-09 13:48:57.120367,901.48,Deposito,Completado,Norte
1044,2025-11-06 13:48:57.120367,892.61,Deposito,Pendiente,Centro
1022,2026-01-08 13:48:57.120367,170.49,Retiro,Completado,
1045,2026-01-26 13:48:57.120367,726.37,Transferencia,Completado,Norte
1047,2026-01-13 13:48:57.120367,,Deposito,Pendiente,Sur
1008,2025-12-23 13:48:57.120367,461.79,Transferencia,Completado,Sur
1042,2025-12-31 13:48:57.120367,7225.97,Transferencia,Completado,Este
1008,2026-01-20 13:48:57.120367,4421.41,Pago,Completado,Sur
1024,2026-01-05 13:48:57.120367,394.88,Pago,Completado,
1042,2025-11-12 13:48:57.120367,92.59,Deposito,Completado,Centro
1024,2026-01-31 13:48:57.120367,,Retiro,Completado,Este
1025,2025-11-25 13:48:57.120367,750.55,Retiro,Completado,Centro
1021,2025-12-19 13:48:57.120367,510.71,Deposito,Completado,Sur
1022,2025-11-07 13:48:57.120367,153.24,Retiro,Completado,Este
1022,2026-01-08 13:48:57.120367,170.49,Retiro,Completado,
1023,2025-11-13 13:48:57.120367,12.07,Retiro,Pendiente,Centro
1007,2026-01-03 13:48:57.120367,576.07,Deposito,Completado,Norte
1009,2026-01-03 13:48:57.120367,497.11,Retiro,Pendiente,Norte
1006,2025-12-17 13:48:57.120367,4156.31,Deposito,Completado,
1040,2025-12-03 13:48:57.120367,24.2,Retiro,Completado,Oeste
1021,2025-11-29 13:48:57.120367,,Retiro,,Centro
1039,2026-01-02 13:48:57.120367,179.12,Retiro,Completado,Oeste
1015,2025-11-29 13:48:57.120367,242.48,Deposito,Cancelado,Este
1040,2025-12-25 13:48:57.120367,211.66,Transferencia,Completado,Este
1029,2026-01-03 13:48:57.120367,203.86,Retiro,Completado,Norte
1039,2026-01-31 13:48:57.120367,105.02,Pago,Completado,Este
1014,2025-12-12 13:48:57.120367,435.34,Pago,Completado,Sur
1031,2025-12-07 13:48:57.120367,847.17,Pago,Cancelado,Este
1014,2026-01-08 13:48:57.120367,2208.38,Deposito,Completado,Centro
1011,2025-11-07 13:48:57.120367,224.28,Transferencia,Pendiente,Centro
1039,2026-01-11 13:48:57.120367,193.11,Transferencia,Completado,Norte
1043,2025-12-07 13:48:57.120367,129.62,Pago,Completado,
1014,2025-12-21 13:48:57.120367,8.61,Retiro,,Este
1044,2026-01-14 13:48:57.120367,1151.29,Retiro,Completado,Oeste
1028,2025-12-14 13:48:57.120367,506.04,Pago,Completado,Centro
1042,2026-01-07 13:48:57.120367,558.81,Deposito,Cancelado,Centro
1026,2026-01-04 13:48:57.120367,198.76,Pago,Completado,Sur
1009,2026-01-30 13:48:57.120367,250.62,Retiro,Cancelado,Centro
1045,2025-12-21 13:48:57.120367,,Transferencia,Pendiente,Sur
1017,2025-11-26 13:48:57.120367,740.17,Transferencia,,Centro
1009,2025-11-24 13:48:57.120367,2341.75,Retiro,,Este
1028,2025-12-23 13:48:57.120367,1300.38,Transferencia,Completado,Sur
1004,2025-11-21 13:48:57.120367,62.97,Deposito,Completado,Oeste
1025,2026-01-04 13:48:57.120367,3160.76,Transferencia,Completado,Este
1047,2025-12-14 13:48:57.120367,1980.21,Retiro,Cancelado,Centro
1029,2025-12-22 13:48:57.120367,108.57,Retiro,Completado,Este
1015,2025-12-21 13:48:57.120367,313.53,Transferencia,Completado,
1009,2025-11-29 13:48:57.120367,990.93,Retiro,,Centro
1047,2026-01-19 13:48:57.120367,2245.22,Transferencia,Pendiente,Sur
1021,2026-01-06 13:48:57.120367,764.36,Pago,Completado,Oeste
1032,2026-01-10 13:48:57.120367,,Pago,Cancelado,Este
1014,2025-11-06 13:48:57.120367,109.71,Pago,Completado,Sur
