id,edad,genero,carrera,horas_sueno,calidad_sueno,comidas_dia,consume_alcohol,fuma,dias_actividad,horas_actividad,peso_kg,talla_m,imc,nivel_estres,rendimiento
102,19,Femenino,Salud,6.5,2,2,Sí,No,2,1.3,45.0,1.79,14.0,5,Medio
103,22,Masculino,Salud,9.5,3,3,No,No,7,1.0,63.0,1.67,22.6,4,Medio
104,26,Femenino,Salud,4.3,3,3,No,No,4,1.5,80.7,1.62,30.7,3,Medio
105,21,Femenino,Tecnología,6.0,2,3,Sí,No,3,0.5,63.9,1.78,20.2,2,Alto
106,23,Masculino,Humanidades,5.7,2,4,No,No,1,1.3,45.0,1.57,18.3,4,Bajo
107,18,Masculino,Salud,5.5,4,3,No,No,3,1.2,59.0,1.53,25.2,4,Bajo
108,26,Femenino,Sociales,7.1,5,2,Sí,No,2,1.2,76.9,1.79,24.0,1,Medio
109,18,Masculino,Tecnología,7.5,3,2,No,No,2,1.4,71.5,1.85,20.9,3,Medio
110,22,Masculino,Sociales,7.1,2,4,No,No,0,0.0,54.9,1.64,20.4,5,Bajo
111,21,Masculino,Sociales,5.3,2,2,No,Sí,4,2.5,58.2,1.68,20.6,4,Bajo
112,20,Masculino,Exactas,9.1,1,4,Sí,Sí,2,0.5,60.1,1.58,24.1,3,Medio
113,23,Femenino,Exactas,4.1,5,3,No,No,0,0.0,57.0,1.68,20.2,3,Bajo
114,19,Femenino,Humanidades,5.0,2,3,Sí,Sí,2,1.0,45.0,1.64,16.7,3,Medio
115,20,Femenino,Tecnología,6.4,3,3,Sí,No,2,0.5,74.2,1.67,26.6,3,Medio
116,22,Femenino,Tecnología,6.3,2,4,Sí,No,4,0.5,80.1,1.72,27.1,3,Medio
117,26,Femenino,Sociales,6.8,3,3,Sí,Sí,3,0.6,46.8,1.58,18.7,2,Alto
118,19,Masculino,Exactas,8.1,3,4,No,No,4,2.3,79.9,1.65,29.3,4,Medio
119,25,Femenino,Exactas,6.1,4,3,No,No,0,0.0,63.8,1.52,27.6,3,Medio
120,19,Femenino,Sociales,6.3,2,3,No,No,2,2.3,79.7,1.65,29.3,4,Medio
121,22,Femenino,Salud,5.5,1,4,Sí,No,2,1.1,65.5,1.67,23.5,5,Medio
122,24,Femenino,Tecnología,6.9,2,4,Sí,No,0,0.0,66.6,1.7,23.0,3,Medio
123,25,Masculino,Tecnología,5.8,5,4,Sí,No,1,0.5,69.5,1.7,24.0,4,Bajo
124,18,Masculino,Sociales,5.8,4,4,No,Sí,4,0.6,55.5,1.76,17.9,3,Medio
125,23,Masculino,Humanidades,6.9,3,4,Sí,No,0,0.0,79.3,1.54,33.4,5,Bajo
126,18,Masculino,Tecnología,7.4,3,4,No,No,2,0.5,51.5,1.55,21.4,3,Medio
127,19,Femenino,Salud,3.6,3,4,No,No,1,0.5,60.2,1.73,20.1,4,Bajo
128,18,Femenino,Salud,6.6,2,4,Sí,No,0,0.0,71.3,1.5,31.7,4,Bajo
129,22,Masculino,Sociales,5.9,5,4,No,No,1,2.0,58.9,1.7,20.4,3,Medio
130,26,Femenino,Sociales,7.3,3,3,Sí,No,6,8.0,74.3,1.57,30.1,2,Alto
131,23,Masculino,Sociales,5.9,3,4,No,No,4,4.1,81.5,1.82,24.6,4,Medio
132,18,Masculino,Tecnología,7.8,3,2,No,No,6,1.5,77.2,1.7,26.7,4,Medio
133,18,Masculino,Exactas,5.4,1,4,Sí,No,2,0.8,45.0,1.66,16.3,3,Bajo
134,19,Masculino,Exactas,3.5,2,4,Sí,No,0,0.0,66.5,1.79,20.8,4,Bajo
135,26,Femenino,Exactas,7.5,4,1,No,No,2,2.3,77.3,1.58,31.0,3,Alto
136,20,Masculino,Exactas,5.2,1,4,No,No,2,0.5,49.2,1.6,19.2,4,Medio
137,18,Femenino,Tecnología,4.3,3,2,Sí,No,4,0.8,73.7,1.57,29.9,2,Medio
138,22,Femenino,Tecnología,6.2,2,3,No,No,0,0.0,73.0,1.6,28.5,5,Medio
139,24,Masculino,Salud,5.9,3,4,No,No,2,0.7,50.5,1.69,17.7,3,Medio
140,23,No binario,Exactas,7.2,2,2,No,No,0,0.0,75.0,1.72,25.4,3,Medio
141,18,No binario,Salud,7.3,3,4,Sí,No,1,1.3,68.3,1.77,21.8,2,Alto
142,22,Masculino,Salud,6.3,4,4,No,No,3,0.5,72.8,1.52,31.5,2,Medio
143,22,Femenino,Exactas,5.1,2,3,No,Sí,2,0.7,53.4,1.66,19.4,4,Bajo
144,23,Masculino,Sociales,6.5,3,1,Sí,No,2,0.6,66.8,1.58,26.8,3,Medio
145,20,Masculino,Sociales,6.4,3,3,Sí,No,2,0.5,45.0,1.66,16.3,4,Medio
146,22,Masculino,Salud,6.9,3,3,No,No,2,0.5,45.0,1.89,12.6,1,Medio
147,24,Femenino,Salud,5.2,5,5,Sí,Sí,4,2.7,66.7,1.71,22.8,3,Medio
148,22,Femenino,Exactas,5.7,4,3,No,No,4,0.5,78.2,1.76,25.2,3,Medio
149,22,Masculino,Sociales,6.8,2,3,Sí,No,6,1.1,68.0,1.86,19.7,1,Alto
150,22,Masculino,Salud,7.7,1,3,Sí,No,4,0.5,64.2,1.78,20.3,2,Alto
151,20,Femenino,Salud,7.4,2,3,No,Sí,1,4.2,62.7,1.64,23.3,3,Alto
152,18,Masculino,Tecnología,6.3,3,4,Sí,Sí,3,0.5,53.7,1.57,21.8,3,Medio
153,22,Masculino,Tecnología,5.6,1,2,Sí,No,2,0.8,62.3,1.68,22.1,3,Medio
154,26,Femenino,Exactas,6.7,3,4,Sí,No,1,3.1,70.1,1.63,26.4,4,Medio
155,18,No binario,Exactas,4.9,3,3,No,No,4,2.8,59.8,1.54,25.2,4,Bajo
156,20,Masculino,Salud,5.2,2,5,Sí,No,0,0.0,74.0,1.7,25.6,1,Medio
157,21,Femenino,Exactas,8.0,4,3,Sí,No,5,2.4,67.4,1.7,23.3,3,Alto
158,18,Femenino,Salud,6.7,2,3,No,No,2,0.9,68.8,1.84,20.3,5,Medio
159,18,Masculino,Humanidades,5.8,1,5,Sí,No,3,1.0,75.7,1.65,27.8,4,Medio
160,25,Femenino,Salud,7.2,4,2,No,No,3,0.5,58.7,1.71,20.1,4,Bajo
161,19,Masculino,Sociales,7.7,3,5,Sí,Sí,4,0.5,72.9,1.62,27.8,3,Bajo
162,25,Femenino,Salud,5.7,3,4,No,No,3,2.0,60.4,1.76,19.5,4,Medio
163,24,Femenino,Salud,5.7,3,2,Sí,No,3,1.0,69.1,1.67,24.8,4,Medio
164,19,Femenino,Salud,5.5,2,3,No,No,0,0.0,57.3,1.57,23.2,4,Medio
165,23,Masculino,Humanidades,7.4,4,4,Sí,No,2,2.0,54.1,1.68,19.2,5,Medio
166,23,Femenino,Sociales,7.4,4,2,Sí,No,0,0.0,66.1,1.72,22.3,2,Medio
167,20,Masculino,Humanidades,7.9,3,3,Sí,No,3,0.5,45.0,1.7,15.6,1,Alto
168,19,Masculino,Humanidades,7.4,2,3,Sí,Sí,2,1.4,61.4,1.77,19.6,4,Medio
169,18,Masculino,Exactas,4.2,3,3,Sí,Sí,3,0.5,45.7,1.55,19.0,4,Bajo
170,23,Femenino,Exactas,6.5,3,1,Sí,No,0,0.0,74.4,1.6,29.1,2,Medio
171,22,Femenino,Exactas,4.9,1,4,No,No,0,0.0,77.6,1.74,25.6,3,Bajo
172,26,Masculino,Exactas,5.6,5,5,Sí,No,3,4.7,54.6,1.61,21.1,1,Alto
173,18,Femenino,Exactas,6.4,2,5,Sí,Sí,0,0.0,70.1,1.7,24.3,3,Bajo
174,24,Masculino,Tecnología,7.2,5,4,No,Sí,0,0.0,75.8,1.5,33.7,4,Bajo
175,22,Femenino,Exactas,5.1,3,2,No,No,0,0.0,75.8,1.92,20.6,4,Medio
176,22,Masculino,Sociales,3.4,2,4,Sí,Sí,6,0.5,67.6,1.66,24.5,3,Medio
177,19,Femenino,Tecnología,6.4,3,1,Sí,No,3,0.5,73.8,1.79,23.0,3,Medio
178,20,Masculino,Exactas,9.4,4,1,Sí,No,2,3.6,57.2,1.65,21.0,1,Alto
179,24,Femenino,Tecnología,6.0,4,3,No,No,1,0.5,66.0,1.72,22.3,3,Bajo
180,23,Masculino,Sociales,6.3,4,3,No,Sí,1,0.5,59.4,1.81,18.1,4,Medio
181,19,Masculino,Exactas,8.3,3,4,Sí,No,4,2.1,56.2,1.78,17.7,5,Medio
182,23,Masculino,Tecnología,6.9,3,4,No,Sí,3,0.9,65.4,1.66,23.7,4,Medio
183,19,Femenino,Salud,6.5,4,3,No,No,0,0.0,69.2,1.67,24.8,1,Medio
184,19,Femenino,Tecnología,6.7,2,3,No,No,0,0.0,79.0,1.77,25.2,5,Medio
185,19,Masculino,Tecnología,6.5,3,5,No,No,0,0.0,68.2,1.89,19.1,4,Medio
186,20,Femenino,Tecnología,4.8,2,3,Sí,No,3,0.5,72.7,1.7,25.2,4,Bajo
187,19,Femenino,Sociales,4.6,5,3,Sí,No,4,0.5,72.8,1.86,21.0,3,Medio
188,21,Femenino,Exactas,8.5,5,2,Sí,No,1,3.6,97.3,1.66,35.3,3,Medio
189,26,Femenino,Tecnología,6.4,1,4,Sí,No,0,0.0,45.0,1.77,14.4,3,Medio
190,23,Masculino,Tecnología,6.3,4,4,Sí,No,0,0.0,56.7,1.78,17.9,2,Alto
191,18,Masculino,Humanidades,6.1,5,2,No,No,6,0.8,82.7,1.64,30.7,3,Medio
192,25,Femenino,Sociales,7.1,2,2,Sí,No,1,0.6,60.8,1.61,23.5,3,Medio
193,24,Femenino,Sociales,9.2,3,4,Sí,No,4,3.5,75.6,1.78,23.9,3,Alto
194,20,Femenino,Tecnología,6.8,5,4,Sí,No,3,0.5,67.8,1.63,25.5,4,Medio
195,18,Masculino,Sociales,5.5,1,3,No,No,2,1.6,90.3,1.6,35.3,3,Medio
196,22,Masculino,Humanidades,6.0,3,5,Sí,No,1,5.0,51.6,1.62,19.7,2,Alto
197,21,Femenino,Tecnología,7.5,2,2,Sí,Sí,0,0.0,79.7,1.63,30.0,5,Bajo
198,25,Femenino,Sociales,5.5,5,3,Sí,No,3,4.1,86.0,1.76,27.8,5,Medio
199,18,Femenino,Tecnología,7.2,5,5,Sí,No,4,0.5,52.8,1.73,17.6,4,Bajo
200,18,Femenino,Tecnología,3.4,5,3,No,Sí,3,0.8,74.4,1.74,24.6,5,Bajo
