edad,genero,region,dispositivo,categoria_preferida,nivel_membresia,frecuencia_visitas_mes,tiempo_promedio_sesion_min,paginas_vistas_sesion,items_en_carrito,uso_cupon,dias_desde_ultima_compra,numero_compras_previas,tiene_app,calificacion_promedio_dada,monto_compra_promedio
25,Femenino,Sur,Desktop,Electronica,Bronce,3,10.4,23,5,1,23.0,6,1,4.6,252.22
31,Masculino,Centro,Desktop,Electronica,Bronce,8,1.0,2,1,0,83.0,5,1,5.0,161.6
40,Masculino,Este,Mobile,Ropa,Bronce,9,2.3,21,5,0,14.0,6,0,4.7,253.7
57,Femenino,Este,Mobile,Electronica,Bronce,7,26.5,22,2,0,10.0,8,1,4.0,273.78
38,Femenino,Este,Desktop,Hogar,Plata,6,11.3,8,1,0,31.0,7,0,,212.74
33,Femenino,Norte,Desktop,Electronica,Bronce,4,36.0,25,5,0,141.0,0,1,2.8,203.19
62,Masculino,Este,Mobile,Ropa,Bronce,16,80.2,10,6,1,127.0,4,1,4.3,335.39
35,Femenino,Norte,Desktop,Libros,Bronce,11,5.6,29,1,0,150.0,7,1,4.0,247.39
64,Masculino,Oeste,Desktop,Deportes,Bronce,9,4.3,13,5,0,37.0,7,1,3.8,285.72
41,Masculino,Oeste,Desktop,Hogar,Plata,7,23.5,23,3,0,167.0,2,1,4.2,269.72
43,Masculino,Norte,Desktop,Ropa,Bronce,13,79.0,27,0,1,138.0,3,0,3.6,290.54
42,Femenino,Oeste,Desktop,Hogar,Bronce,4,11.9,10,1,0,31.0,9,1,3.8,209.65
62,Femenino,Sur,Mobile,Ropa,Bronce,10,19.0,21,5,1,171.0,7,0,3.5,247.28
58,Femenino,Sur,Mobile,Ropa,Bronce,8,18.3,25,2,0,99.0,8,1,4.3,260.61
46,Masculino,Oeste,Desktop,Electronica,Oro,8,5.3,4,3,1,164.0,4,1,4.7,202.14
32,Femenino,Centro,Mobile,Deportes,Platino,5,10.2,5,3,1,35.0,2,1,4.6,244.02
62,Masculino,Norte,Desktop,Ropa,Bronce,9,21.5,11,4,1,111.0,6,0,4.5,249.18
18,Femenino,Oeste,Desktop,Electronica,Plata,5,14.0,5,3,0,68.0,2,0,2.5,181.02
42,Masculino,Norte,Mobile,Ropa,Bronce,6,1.0,23,4,0,117.0,4,0,4.8,252.87
24,Masculino,Oeste,Desktop,Ropa,Bronce,8,4.9,10,3,0,126.0,9,0,3.2,202.08
26,Masculino,Sur,Mobile,Deportes,Bronce,5,1.9,23,7,0,175.0,4,0,4.7,191.3
41,Masculino,Centro,Mobile,Hogar,Oro,13,3.2,2,3,1,6.0,3,1,3.0,284.85
18,Femenino,Norte,Mobile,Deportes,Bronce,11,,6,3,0,119.0,4,1,3.6,197.53
61,Femenino,Centro,Tablet,Electronica,Platino,9,,10,1,0,,2,1,4.4,288.12
25,Masculino,Sur,Mobile,Ropa,Plata,6,3.0,6,3,0,30.0,7,0,4.1,203.44
41,Femenino,Este,Desktop,Ropa,Bronce,9,4.4,7,2,0,155.0,7,0,3.5,133.77
28,Masculino,Este,Mobile,Electronica,Oro,9,11.5,20,5,0,69.0,2,0,4.2,267.11
68,Femenino,Norte,Mobile,Ropa,Platino,3,9.2,9,6,0,108.0,4,0,3.9,292.42
34,Femenino,Sur,Mobile,Deportes,Oro,7,3.0,11,4,1,167.0,4,0,3.2,183.19
25,Femenino,Norte,Desktop,Electronica,Oro,8,2.2,12,4,0,35.0,5,0,4.1,250.82
52,Masculino,Norte,Mobile,Ropa,Bronce,8,3.2,14,2,1,103.0,6,1,3.0,212.96
52,Femenino,Norte,Mobile,Electronica,Bronce,7,8.4,21,3,0,44.0,6,1,4.2,303.88
50,Femenino,Centro,Desktop,Electronica,Bronce,6,,5,5,1,143.0,8,1,2.5,162.91
22,Masculino,Oeste,Mobile,Electronica,Plata,5,35.4,12,2,0,160.0,4,1,3.9,246.67
59,Masculino,Sur,Mobile,Libros,Platino,10,7.5,13,3,0,29.0,1,0,3.5,294.56
56,Femenino,Centro,Mobile,Deportes,Oro,5,1.0,6,3,0,6.0,4,1,3.3,282.9
58,Femenino,Oeste,Mobile,Libros,Oro,8,15.7,11,3,0,27.0,6,0,3.8,257.79
45,Femenino,Norte,Desktop,Ropa,Bronce,8,4.8,26,4,0,28.0,3,0,4.1,258.46
24,Femenino,Este,Mobile,Electronica,Plata,8,12.7,25,3,1,133.0,4,0,4.9,165.91
26,Femenino,Centro,Mobile,Ropa,Oro,6,3.9,8,0,0,169.0,1,0,4.6,157.13
25,Masculino,Sur,Desktop,Ropa,Plata,8,10.1,22,3,0,56.0,7,1,4.3,282.75
29,Masculino,Sur,Desktop,Deportes,Plata,7,17.7,10,2,0,112.0,2,1,3.7,211.62
51,Masculino,Oeste,Desktop,Electronica,Oro,10,31.6,10,6,0,54.0,9,1,3.5,359.15
50,Femenino,Centro,Desktop,Ropa,Plata,7,3.6,11,1,0,80.0,6,0,2.6,212.56
65,Masculino,Norte,Desktop,Electronica,Platino,8,4.9,11,2,1,105.0,5,1,3.4,294.66
40,Femenino,Oeste,Desktop,Ropa,Plata,9,7.5,3,2,0,18.0,10,1,4.6,259.85
41,Femenino,Sur,Desktop,Hogar,Bronce,8,31.4,5,1,1,43.0,7,1,3.5,228.38
54,Femenino,Centro,Desktop,Ropa,Plata,6,27.8,9,4,1,89.0,5,1,3.7,260.47
52,Masculino,Este,Desktop,Ropa,Bronce,9,1.1,15,5,1,74.0,4,1,3.2,244.44
61,Femenino,Norte,Mobile,Ropa,Plata,7,1.7,18,2,0,157.0,11,1,3.2,250.59
57,Masculino,Sur,Desktop,Ropa,Bronce,8,8.2,14,4,0,10.0,4,1,2.7,263.36
39,Femenino,Centro,Desktop,Deportes,Platino,11,1.4,22,4,0,134.0,3,0,4.0,311.05
44,Masculino,Este,Desktop,Deportes,Oro,7,5.1,25,3,1,89.0,1,0,3.6,232.67
52,Masculino,Sur,Mobile,Libros,Bronce,9,1.9,19,4,0,132.0,7,1,4.0,212.43
18,Femenino,Este,Mobile,Deportes,Bronce,8,12.1,19,2,0,34.0,5,1,3.9,227.62
52,Masculino,Sur,Mobile,Ropa,Plata,6,35.8,14,2,1,83.0,7,1,4.5,301.39
54,Masculino,Oeste,Mobile,Hogar,Oro,6,68.7,9,3,0,161.0,5,1,4.4,334.32
64,Femenino,Oeste,Mobile,Ropa,Bronce,14,5.6,27,3,0,132.0,2,0,4.4,246.27
31,Femenino,Oeste,Mobile,Ropa,Bronce,12,11.0,13,2,0,172.0,5,1,3.7,188.35
20,Femenino,Centro,Mobile,Deportes,Plata,5,23.3,26,2,0,98.0,9,0,3.4,264.04
18,Femenino,Oeste,Mobile,Electronica,Plata,12,1.5,24,6,0,31.0,11,1,4.8,337.75
22,Femenino,Centro,Desktop,Libros,Bronce,8,14.0,25,2,1,80.0,6,0,2.6,176.05
43,Masculino,Norte,Desktop,Ropa,Oro,7,6.3,22,4,1,,6,1,2.9,324.59
31,Masculino,Oeste,Mobile,Hogar,Platino,4,2.8,2,2,1,2.0,3,0,3.5,212.3
56,Masculino,Centro,Desktop,Hogar,Bronce,5,6.2,21,4,0,36.0,8,1,4.0,297.18
44,Femenino,Sur,Mobile,Deportes,Plata,5,1.0,19,3,0,125.0,3,1,2.5,244.05
26,Femenino,Centro,Mobile,Hogar,Bronce,4,14.3,4,0,0,151.0,8,0,4.3,136.33
32,Masculino,Centro,Desktop,Hogar,Bronce,7,3.5,13,4,0,103.0,7,1,3.9,187.17
32,Masculino,Sur,Desktop,Electronica,Bronce,9,4.5,20,2,0,175.0,6,1,3.7,190.18
43,Femenino,Centro,Desktop,Ropa,Plata,7,1.5,26,2,0,116.0,6,0,3.6,221.85
59,Masculino,Sur,Mobile,Electronica,Oro,6,24.0,14,3,0,101.0,3,1,3.8,280.8
30,Femenino,Este,Desktop,Hogar,Plata,7,8.2,11,6,0,46.0,7,0,2.9,268.11
68,Femenino,Oeste,Mobile,Ropa,Bronce,4,10.2,16,5,1,80.0,4,0,2.8,234.87
49,Femenino,Norte,Mobile,Hogar,Bronce,9,10.1,21,5,0,107.0,4,1,3.2,245.26
56,Masculino,Centro,Mobile,Electronica,Plata,10,,3,0,0,44.0,10,1,4.3,242.38
66,Femenino,Sur,Desktop,Electronica,Bronce,11,2.6,20,4,0,147.0,6,0,4.0,229.29
69,Femenino,Oeste,Mobile,Hogar,Bronce,11,16.4,4,4,0,49.0,2,0,3.7,261.28
49,Femenino,Centro,Mobile,Electronica,Plata,8,1.6,15,3,0,88.0,4,1,3.9,239.79
21,Femenino,Oeste,Desktop,Electronica,Platino,10,1.3,8,4,0,58.0,3,1,3.9,262.1
47,Femenino,Este,Mobile,Electronica,Bronce,9,14.9,9,2,0,91.0,9,0,3.3,169.34
54,Femenino,Centro,Mobile,Libros,Plata,8,2.8,12,2,0,135.0,6,1,2.7,231.63
40,Masculino,Sur,Mobile,Hogar,Bronce,3,4.4,23,1,1,94.0,3,0,4.7,130.56
56,Femenino,Este,Mobile,Ropa,Plata,5,7.7,21,5,0,169.0,7,0,4.0,271.06
62,Femenino,Centro,Desktop,Ropa,Plata,7,7.2,7,2,0,78.0,5,1,4.2,207.56
32,Masculino,Oeste,Desktop,Ropa,Oro,7,14.8,12,0,0,122.0,7,1,3.7,221.79
60,Femenino,Este,Mobile,Deportes,Plata,8,11.7,18,3,0,143.0,7,0,4.4,219.38
46,Femenino,Sur,Mobile,Hogar,Bronce,5,12.4,11,3,1,76.0,2,1,4.0,199.25
53,Femenino,Centro,Desktop,Electronica,Bronce,7,15.0,25,4,0,53.0,7,0,2.6,277.72
30,Masculino,Oeste,Mobile,Electronica,Bronce,7,4.2,18,2,0,23.0,3,1,4.7,222.11
49,Masculino,Oeste,Desktop,Electronica,Plata,7,4.7,22,4,0,77.0,7,0,3.3,239.09
24,Otro,Este,Mobile,Hogar,Oro,7,6.9,3,4,1,73.0,5,1,2.8,216.94
68,Femenino,Centro,Mobile,Deportes,Plata,10,4.4,7,0,0,,8,0,2.7,217.64
39,Masculino,Oeste,Tablet,Ropa,Oro,7,50.3,26,1,1,103.0,3,1,4.3,256.97
45,Femenino,Este,Desktop,Electronica,Bronce,9,20.2,6,4,0,,7,1,4.3,240.51
19,Femenino,Norte,Mobile,Electronica,Plata,7,2.2,5,1,1,60.0,4,0,4.3,188.76
59,Femenino,Oeste,Mobile,Libros,Bronce,5,1.0,3,3,1,10.0,3,0,4.8,172.9
62,Femenino,Este,Mobile,Ropa,Bronce,8,1.0,13,2,1,102.0,3,1,3.4,146.49
23,Masculino,Norte,Mobile,Deportes,Plata,12,3.4,4,3,0,58.0,2,0,,184.39
45,Masculino,Este,Tablet,Hogar,Oro,4,1.5,7,0,0,175.0,9,1,4.0,188.03
45,Masculino,Oeste,Desktop,Ropa,Bronce,9,9.1,25,0,0,143.0,10,1,4.9,278.53
61,Femenino,Norte,Mobile,Electronica,Plata,7,23.4,15,4,0,9.0,7,1,3.3,366.32
61,Masculino,Este,Mobile,Electronica,Oro,9,16.0,9,1,0,13.0,7,1,4.9,329.87
37,Masculino,Centro,Desktop,Hogar,Bronce,10,2.9,22,2,1,151.0,4,1,2.9,169.7
47,Masculino,Norte,Mobile,Deportes,Oro,6,6.1,22,1,0,161.0,4,1,4.4,273.64
28,Femenino,Este,Desktop,Hogar,Bronce,11,8.5,27,5,0,137.0,5,1,4.1,228.66
45,Femenino,Centro,Desktop,Ropa,Bronce,6,19.9,15,1,0,131.0,3,1,4.5,216.49
42,Masculino,Norte,Desktop,Electronica,Bronce,9,21.9,4,3,0,73.0,7,0,2.6,231.18
56,Masculino,Este,Desktop,Libros,Bronce,9,28.9,17,2,1,116.0,4,1,2.7,216.9
50,Femenino,Oeste,Desktop,Deportes,Oro,7,8.5,16,3,1,153.0,4,1,2.7,271.78
18,Masculino,Norte,Tablet,Ropa,Oro,7,14.2,8,1,1,125.0,4,0,4.0,168.26
44,Masculino,Norte,Mobile,Libros,Bronce,8,1.4,16,5,1,111.0,8,0,4.0,182.95
69,Masculino,Centro,Desktop,Hogar,Bronce,12,10.0,14,1,0,71.0,5,1,4.8,268.85
30,Masculino,Este,Mobile,Hogar,Bronce,7,3.4,7,3,0,164.0,3,1,3.7,153.25
58,Masculino,Oeste,Mobile,Hogar,Plata,4,6.8,16,4,0,89.0,11,0,2.7,279.9
20,Femenino,Centro,Mobile,Deportes,Bronce,7,,18,4,0,20.0,7,1,3.0,295.04
56,Masculino,Norte,Desktop,Hogar,Plata,7,3.6,5,1,0,81.0,5,0,2.5,168.26
23,Femenino,Centro,Mobile,Electronica,Oro,7,1.0,23,4,1,90.0,6,0,4.4,251.52
25,Masculino,Centro,Desktop,Ropa,Plata,5,1.0,28,1,0,19.0,2,1,,271.74
44,Femenino,Centro,Desktop,Libros,Platino,7,1.0,23,2,0,165.0,1,1,5.0,287.62
26,Femenino,Norte,Mobile,Electronica,Bronce,6,1.0,28,3,1,112.0,3,1,3.5,169.91
54,Masculino,Sur,Desktop,Ropa,Platino,7,,15,5,0,131.0,5,1,2.5,291.2
50,Femenino,Centro,Desktop,Ropa,Bronce,7,3.3,16,3,0,107.0,7,1,3.1,208.16
68,Masculino,Sur,Desktop,Ropa,Bronce,11,3.0,29,5,0,121.0,3,0,4.0,243.24
59,Femenino,Oeste,Mobile,Hogar,Oro,10,51.9,13,1,1,92.0,4,1,4.9,318.31
61,Masculino,Oeste,Desktop,Libros,Oro,8,4.4,20,2,0,147.0,2,0,2.8,236.94
41,Masculino,Oeste,Desktop,Electronica,Oro,11,1.6,23,2,1,174.0,5,0,2.8,229.5
32,Masculino,Este,Mobile,Electronica,Bronce,7,9.5,29,4,0,80.0,2,1,4.3,222.98
49,Otro,Norte,Mobile,Electronica,Platino,11,23.4,11,1,1,31.0,5,0,4.2,297.21
49,Femenino,Sur,Mobile,Deportes,Bronce,4,13.6,7,2,0,53.0,7,1,3.1,157.23
41,Femenino,Este,Desktop,Hogar,Bronce,6,4.2,29,1,0,113.0,3,0,4.5,184.57
58,Masculino,Sur,Mobile,Ropa,Bronce,8,9.9,26,2,0,34.0,6,0,2.8,272.47
69,Femenino,Norte,Mobile,Deportes,Oro,12,15.1,10,4,0,31.0,3,0,4.8,285.9
66,Masculino,Centro,Desktop,Deportes,Plata,6,15.6,3,1,0,139.0,10,1,3.0,240.91
66,Femenino,Este,Mobile,Deportes,Plata,6,13.2,5,8,0,6.0,5,0,2.7,294.56
69,Masculino,Norte,Tablet,Libros,Bronce,8,24.6,10,6,0,27.0,3,1,3.3,316.68
29,Masculino,Este,Mobile,Ropa,Bronce,10,24.5,16,4,0,7.0,7,1,3.0,285.97
56,Masculino,Oeste,Mobile,Deportes,Bronce,9,10.4,14,4,0,49.0,3,0,3.8,242.7
19,Masculino,Este,Mobile,Ropa,Plata,13,6.7,21,2,0,96.0,5,1,4.2,251.06
20,Femenino,Centro,Tablet,Deportes,Plata,8,12.3,9,3,0,60.0,4,1,3.7,264.47
66,Masculino,Centro,Desktop,Hogar,Plata,11,20.5,27,5,1,33.0,7,1,4.2,366.19
54,Femenino,Sur,Tablet,Deportes,Platino,10,1.0,29,3,1,47.0,4,0,,301.66
66,Masculino,Este,Desktop,Hogar,Bronce,11,57.9,20,3,0,172.0,4,0,2.6,268.65
34,Femenino,Oeste,Mobile,Electronica,Bronce,13,2.4,20,1,1,119.0,3,0,4.9,155.66
66,Masculino,Centro,Mobile,Ropa,Plata,6,7.6,26,3,0,27.0,6,1,4.5,316.38
19,Masculino,Sur,Mobile,Libros,Plata,12,24.7,17,3,1,22.0,10,1,2.7,283.25
19,Femenino,Oeste,Desktop,Libros,Plata,7,3.1,12,3,0,47.0,3,1,3.6,203.9
45,Masculino,Oeste,Tablet,Electronica,Platino,9,7.8,11,3,0,93.0,5,1,4.1,314.94
40,Masculino,Oeste,Mobile,Electronica,Plata,5,1.7,9,2,0,176.0,4,0,3.0,155.13
54,Femenino,Norte,Desktop,Electronica,Bronce,8,6.0,2,3,0,158.0,5,1,3.9,209.6
49,Femenino,Centro,Tablet,Hogar,Bronce,10,2.3,11,3,0,2.0,2,1,3.8,221.99
50,Masculino,Norte,Mobile,Deportes,Oro,9,5.4,19,5,0,143.0,3,1,3.0,242.06
18,Masculino,Norte,Desktop,Electronica,Oro,2,5.6,4,1,0,47.0,4,0,2.9,167.42
36,Femenino,Centro,Mobile,Ropa,Bronce,8,59.8,12,3,1,27.0,6,1,4.4,243.8
19,Masculino,Este,Desktop,Deportes,Bronce,7,63.1,19,5,0,27.0,7,1,,333.71
61,Masculino,Sur,Mobile,Hogar,Plata,4,1.5,4,2,0,141.0,4,0,3.1,125.95
43,Masculino,Centro,Mobile,Ropa,Plata,8,15.5,9,2,1,145.0,7,1,4.3,192.79
49,Femenino,Sur,Mobile,Hogar,Bronce,13,1.0,28,2,0,75.0,4,1,4.3,243.84
23,Femenino,Este,Tablet,Ropa,Plata,5,1.0,28,3,1,10.0,5,1,3.2,288.2
49,Masculino,Centro,Desktop,Ropa,Bronce,4,1.3,29,1,0,121.0,6,0,4.7,162.14
21,Masculino,Oeste,Mobile,Hogar,Platino,9,40.4,15,2,0,33.0,9,0,4.2,342.69
28,Masculino,Centro,Tablet,Hogar,Bronce,4,33.9,7,1,0,165.0,3,0,3.4,148.58
34,Femenino,Este,Desktop,Deportes,Oro,6,2.6,16,2,0,126.0,9,1,3.6,295.12
55,Masculino,Norte,Desktop,Hogar,Plata,8,2.1,15,2,0,8.0,6,1,4.3,294.06
41,Masculino,Centro,Mobile,Deportes,Bronce,11,3.3,8,2,0,161.0,2,1,3.0,188.31
22,Femenino,Oeste,Mobile,Electronica,Plata,8,8.7,11,3,0,135.0,9,1,3.7,254.15
69,Masculino,Centro,Desktop,Ropa,Bronce,4,10.1,16,2,0,162.0,4,0,4.1,146.99
51,Femenino,Norte,Mobile,Electronica,Plata,6,3.0,11,1,0,71.0,5,1,3.8,228.59
23,Masculino,Centro,Mobile,Electronica,Plata,9,17.0,23,4,0,135.0,5,0,4.0,267.52
39,Masculino,Oeste,Mobile,Hogar,Bronce,9,4.4,18,3,1,41.0,4,1,3.9,196.27
28,Masculino,Este,Mobile,Libros,Bronce,6,30.6,28,3,0,118.0,3,1,3.0,220.73
65,Femenino,Oeste,Mobile,Electronica,Oro,10,12.8,20,1,1,55.0,5,1,,272.78
33,Femenino,Este,Tablet,Ropa,Bronce,6,6.9,18,7,0,7.0,4,1,3.8,299.9
50,Femenino,Oeste,Mobile,Deportes,Plata,4,18.7,13,5,1,84.0,3,0,4.5,236.51
26,Masculino,Sur,Mobile,Electronica,Bronce,4,20.4,16,1,0,146.0,5,1,4.1,164.46
